Cluster,Layer,Correlation,p_value
Cluster_6,2,-0.4148807198751258,7.135989614750542e-05
Cluster_6,3,-0.41961703810170375,5.7777826126051986e-05
Cluster_6,4,-0.27057397231434877,0.011746467052343768
Cluster_6,5,-0.11306780403846696,0.29995372956600147
Cluster_6,6,-0.15462852473184538,0.15515744378192808
Cluster_6,7,-0.1299090949437293,0.23319923407632262
Cluster_6,8,0.11810603896474713,0.27879107365669187
Cluster_6,9,0.058175574073864096,0.5946882237992592
Cluster_6,10,0.14469357833227045,0.1837804283749468
Cluster_6,11,0.21515338812526705,0.0466550266639249
Cluster_6,12,-0.2977559101844107,0.005363989546699881
Cluster_7,0,0.3533963561308022,0.008758610861031826
Cluster_7,1,0.10657924838115876,0.44304757575297704
Cluster_7,2,0.20709765967626448,0.13294629531297075
Cluster_7,3,0.11946329199805135,0.3895584904938578
Cluster_7,4,0.06510635058477081,0.6399747888893478
Cluster_7,5,-0.3019745370799498,0.02647195232725904
Cluster_7,6,-0.2864222004063044,0.03575277037467425
Cluster_7,7,-0.3068155830543443,0.024033134518931448
Cluster_7,8,-0.32964854792570136,0.014924889954829403
Cluster_7,9,-0.08710070906686258,0.5311363668417224
Cluster_7,10,-0.20050316397886092,0.14602277162144817
Cluster_7,11,-0.1891057407793021,0.17083836090929658
Cluster_7,12,-0.1664252497969024,0.22906758197373936
Cluster_8,0,-0.20898630146746763,3.4535836413571506e-08
Cluster_8,1,-0.14975182316567212,8.440153848788371e-05
Cluster_8,2,-0.14195398998874637,0.00019557409676498611
Cluster_8,3,-0.12737387693731111,0.0008414879641354362
Cluster_8,4,-0.15372342123436789,5.412638471735888e-05
Cluster_8,5,-0.0865034484798434,0.023668809777689318
Cluster_8,6,-0.15599860561803994,4.175602856520651e-05
Cluster_8,7,-0.16457209540201737,1.5199675096485973e-05
Cluster_8,8,-0.03502006179491529,0.3604548122634983
Cluster_8,9,0.06570690801705595,0.08594783686182088
Cluster_8,10,0.040819336742354925,0.28639836278607156
Cluster_8,11,0.09906332949333274,0.00952858951065795
Cluster_8,12,-0.02592635490189689,0.49844671069440316
Cluster_9,0,-0.1165827865788612,0.271108819387471
Cluster_9,1,-0.09297955027969833,0.3806995497651047
Cluster_9,2,-0.09501815638380955,0.3702984060328911
Cluster_9,3,-0.08143275789313079,0.44286986911139425
Cluster_9,4,-0.10860355487448832,0.30549301017226327
Cluster_9,5,-0.14096642677725416,0.18259395620650037
Cluster_9,6,-0.18223227377531828,0.08383379349495639
Cluster_9,7,-0.13351277320909746,0.20706347067110598
Cluster_9,8,-0.11220296877705974,0.28964542570478297
Cluster_9,9,-0.15819901900106945,0.13420880896916473
Cluster_9,10,-0.1768172263112728,0.09361090029308768
Cluster_9,11,-0.16590749833224003,0.11602208283068084
Cluster_9,12,0.047238325818702506,0.656577123729277
Cluster_10,0,-0.43471263302759333,0.014532696891145357
Cluster_10,1,-0.6328963868034042,0.00013304479224034727
Cluster_10,2,-0.6262364439575776,0.00016423240966329308
Cluster_10,3,-0.6341072855026454,0.00012797947255001755
Cluster_10,4,-0.6002021219238916,0.00035787328039569845
Cluster_10,5,-0.5917258310292032,0.0004546518797652325
Cluster_10,6,-0.5876895020317325,0.0005083645743522956
Cluster_10,7,-0.51160470042941,0.0032639377519728535
Cluster_10,8,-0.06942485875649587,0.7105593830313095
Cluster_10,9,0.04762868217015414,0.7991618736975665
Cluster_10,10,0.2702322263806627,0.14148778038151033
Cluster_10,11,0.4879921757942064,0.005353680709079745
Cluster_10,12,-0.2421797398482414,0.1893078999604277
Cluster_11,0,0.039825114568669925,0.6739765781511446
Cluster_11,1,0.0042648068382802225,0.9640801723538409
Cluster_11,2,0.0013608500452632051,0.9885349697326469
Cluster_11,3,0.014876197072177832,0.8751719094519683
Cluster_11,4,-0.07539352259694809,0.425307765122623
Cluster_11,5,-0.1228450676276139,0.19287901898782273
Cluster_11,6,-0.16754656152514366,0.07478010102725179
Cluster_11,7,-0.18111051033938907,0.053805483991331615
Cluster_11,8,-0.2016974174229393,0.03139938969085971
Cluster_11,9,-0.09075168739348997,0.3369205489532592
Cluster_11,10,-0.08645852951260011,0.3603673635412338
Cluster_11,11,-0.11834130200162378,0.2098325042996102
Cluster_11,12,0.04575858277197527,0.6287854812229029
Cluster_12,0,-0.31892561799854663,0.004985384079013302
Cluster_12,1,-0.26155484019505243,0.02247290041798785
Cluster_12,2,-0.2551661111626193,0.026109178996293298
Cluster_12,3,-0.2218817905289793,0.05406089700617988
Cluster_12,4,-0.1805123759806327,0.11865635091075148
Cluster_12,5,0.011354700421669207,0.9224480171909073
Cluster_12,6,-0.0625055737669959,0.591678687219402
Cluster_12,7,-0.0640104135819159,0.5827684682253695
Cluster_12,8,-0.05275147569392343,0.6508581287032444
Cluster_12,9,0.022449473966215862,0.847357885679078
Cluster_12,10,0.03926263880745857,0.7363122403507738
Cluster_12,11,0.16590174941395475,0.15206528196325222
